Rank,Club,Country,Level,Elo,From,To
None,Blackburn,ENG,2,1530.2421875,2022-03-20,2022-04-02
None,FC Krasnodar,RUS,1,1530.07727051,2022-03-21,2022-04-03
None,Huddersfield,ENG,2,1529.33666992,2022-03-20,2022-04-01
None,Metz,FRA,1,1527.86889648,2022-03-21,2022-04-03
None,Maccabi Haifa,ISR,1,1526.8302002,2022-03-20,2022-04-04
None,Clermont,FRA,1,1525.62365723,2022-03-20,2022-04-03
None,Groningen,NED,1,1523.90258789,2022-03-21,2022-04-02
None,Sochi,RUS,1,1523.70056152,2022-03-21,2022-04-03
None,Spezia,ITA,1,1523.26098633,2022-03-19,2022-04-02
None,Antwerp,BEL,1,1523.01708984,2022-03-20,2022-04-02
None,Las Palmas,ESP,2,1520.04296875,2022-03-29,2022-04-03
None,Zorya,UKR,1,1519.19396973,2021-12-13,2022-07-20
None,Lok Moskva,RUS,1,1517.48059082,2022-03-20,2022-04-02
None,Ponferradina,ESP,2,1515.96826172,2022-03-28,2022-04-03
None,Lecce,ITA,2,1515.51550293,2022-03-20,2022-04-02
None,CFR Cluj,ROM,1,1513.89562988,2022-03-20,2022-04-04
None,M Tel Aviv,ISR,1,1513.50622559,2022-03-20,2022-04-02
None,Preston,ENG,2,1513.01000977,2022-03-18,2022-04-02
None,St Pauli,GER,2,1512.77526855,2022-03-19,2022-04-02
None,QPR,ENG,2,1512.73425293,2022-03-21,2022-04-02
None,Austria Wien,AUT,1,1512.24963379,2022-03-21,2022-04-03
None,Brondby,DEN,1,1510.9822998,2022-03-21,2022-04-03
None,Spartak Moskva,RUS,1,1509.51330566,2022-03-20,2022-04-02
None,Cardiff,ENG,2,1508.66687012,2022-03-18,2022-04-02
None,Fuerth,GER,1,1508.4798584,2022-03-20,2022-04-02
None,Bordeaux,FRA,1,1508.10717773,2022-03-21,2022-04-02
None,Burgos,ESP,2,1505.49914551,2022-03-28,2022-04-03
None,Swansea,ENG,2,1505.30432129,2022-03-20,2022-04-02
None,Lugo,ESP,2,1503.93200684,2022-03-27,2022-04-02
None,Hajduk,CRO,1,1501.96728516,2022-03-20,2022-04-03
None,Zaragoza,ESP,2,1501.68017578,2022-03-26,2022-04-02
None,Paris FC,FRA,2,1499.84020996,2022-03-20,2022-04-02
None,Monza,ITA,2,1499.60205078,2022-03-20,2022-04-03
None,Benevento,ITA,2,1499.29626465,2022-03-20,2022-04-02
None,Auxerre,FRA,2,1499.18786621,2022-03-20,2022-04-02
None,Gijon,ESP,2,1497.65368652,2022-03-27,2022-04-03
None,Blackpool,ENG,2,1497.08666992,2022-03-18,2022-04-02
None,Cremonese,ITA,2,1496.15136719,2022-03-21,2022-04-02
None,Stoke,ENG,2,1495.94909668,2022-03-20,2022-04-02
None,Genk,BEL,1,1495.21228027,2022-03-21,2022-04-03
None,Guimaraes,POR,1,1494.98742676,2022-03-20,2022-04-03
None,Rijeka,CRO,1,1494.84790039,2022-03-20,2022-04-02
None,Cartagena,ESP,2,1494.67077637,2022-03-27,2022-04-03
None,Wolfsberg,AUT,1,1494.55627441,2022-03-21,2022-04-03
None,Ibiza Eivissa,ESP,2,1494.1619873,2022-03-27,2022-04-02
None,Duesseldorf,GER,2,1493.23950195,2022-03-20,2022-04-03
None,StGallen,SUI,1,1491.63061523,2022-03-20,2022-04-02
None,Santa Clara,POR,1,1490.96374512,2022-03-20,2022-04-04
None,Coventry,ENG,2,1490.28527832,2022-03-20,2022-04-02
None,Sheriff Tiraspol,MOL,0,1490.23474121,2022-02-25,2022-07-06
None,Nuernberg,GER,2,1489.88708496,2022-03-21,2022-04-03
None,Paderborn,GER,2,1489.61791992,2022-03-21,2022-04-02
None,Besiktas,TUR,1,1486.32739258,2022-03-20,2022-04-03
None,Heidenheim,GER,2,1485.30603027,2022-03-19,2022-04-03
None,Mirandes,ESP,2,1483.3371582,2022-03-28,2022-04-03
None,Karlsruhe,GER,2,1482.76257324,2022-03-19,2022-04-03
None,Slovacko,CZE,1,1482.58837891,2022-03-20,2022-04-02
None,Rosenborg,NOR,1,1482.09851074,2022-03-18,2022-04-03
None,Brescia,ITA,2,1481.53515625,2022-03-21,2022-04-03
None,Razgrad,BUL,1,1481.39172363,2022-03-20,2022-04-03
None,Viking,NOR,1,1480.87097168,2022-03-18,2022-04-03
None,Lugano,SUI,1,1480.85949707,2022-03-21,2022-04-03
None,Famalicao,POR,1,1480.0324707,2022-03-19,2022-04-02
None,Pacos Ferreira,POR,1,1479.38354492,2022-03-21,2022-04-03
None,Galatasaray,TUR,1,1479.18933105,2022-03-21,2022-04-02
None,Ferencvaros,HUN,1,1477.91394043,2022-03-19,2022-04-03
None,Karabakh Agdam,AZE,0,1476.82958984,2022-02-25,2022-07-05
None,Maritimo,POR,1,1475.57678223,2022-03-21,2022-04-03
None,Venezia,ITA,1,1469.35876465,2022-03-21,2022-04-02
None,Konyaspor,TUR,1,1469.01501465,2022-03-21,2022-04-03
None,Rakow,POL,1,1468.31054688,2022-03-20,2022-04-02
None,Apollon Lemesos,CYP,0,1468.19567871,2021-12-10,2022-07-19
None,AIK,SWE,1,1467.45788574,2021-12-09,2022-04-02
None,Boavista,POR,1,1466.99511719,2022-03-21,2022-04-02
None,Lech,POL,1,1466.82263184,2022-03-20,2022-04-01
None,Bueyueksehir,TUR,1,1466.40576172,2022-03-20,2022-04-04
None,Holstein,GER,2,1464.67712402,2022-03-21,2022-04-02
None,Pisa,ITA,2,1464.21313477,2022-03-21,2022-04-02
None,Charleroi,BEL,1,1463.6640625,2022-03-20,2022-04-03
None,Ajaccio,FRA,2,1461.80603027,2022-03-20,2022-04-04
None,Pogon,POL,1,1461.3659668,2022-03-19,2022-04-02
None,Aalborg,DEN,1,1460.08312988,2022-03-21,2022-04-03
None,Alanyaspor,TUR,1,1459.89099121,2022-03-20,2022-04-03
None,AEK,GRE,1,1459.56811523,2022-03-21,2022-04-03
None,Frosinone,ITA,2,1459.55981445,2022-03-20,2022-04-02
None,Heracles,NED,1,1459.23400879,2022-03-19,2022-04-03
None,Beer-Sheva,ISR,1,1456.94091797,2022-03-20,2022-04-04
None,Derby,ENG,2,1456.52197266,2022-03-20,2022-04-02
None,Mechelen,BEL,1,1451.85595703,2022-03-20,2022-04-02
None,Sochaux,FRA,2,1451.11682129,2022-03-20,2022-04-02
None,Sparta Rotterdam,NED,1,1450.60839844,2022-03-20,2022-04-03
None,Salernitana,ITA,1,1450.32214355,2022-03-21,2022-04-02
None,Sivasspor,TUR,1,1449.98364258,2022-03-21,2022-04-02
None,Hammarby,SWE,1,1449.93603516,2021-12-09,2022-04-02
None,Steaua,ROM,1,1449.84423828,2022-03-21,2022-04-03
None,Panathinaikos,GRE,1,1448.8996582,2022-03-21,2022-04-03
None,Servette,SUI,1,1448.1751709,2022-03-21,2022-04-03
None,Hull,ENG,2,1448.14196777,2022-03-20,2022-04-01
None,Parma,ITA,2,1447.37145996,2022-03-20,2022-04-02
None,Fuenlabrada,ESP,2,1445.30847168,2022-03-27,2022-04-04
None,Djurgarden,SWE,1,1442.81152344,2021-12-09,2022-04-04
None,Nimes,FRA,2,1442.73510742,2022-03-20,2022-04-02
None,Heerenveen,NED,1,1441.8717041,2022-03-19,2022-04-03
None,Cittadella,ITA,2,1440.53540039,2022-03-21,2022-04-02
None,Terek Grozny,RUS,1,1440.26220703,2022-03-20,2022-04-02
None,Portimonense,POR,1,1440.21057129,2022-03-21,2022-04-02
None,Dnipro,UKR,1,1439.2557373,2021-12-11,2022-07-20
None,Valerenga,NOR,1,1437.87487793,2022-03-18,2022-04-02
None,Sociedad B,ESP,2,1437.65686035,2022-03-27,2022-04-02
None,Banik Ostrava,CZE,1,1437.10229492,2022-03-20,2022-04-02
None,Elfsborg,SWE,1,1437.0189209,2021-12-09,2022-04-04
None,Birmingham,ENG,2,1435.8293457,2022-03-20,2022-04-03
None,Barnsley,ENG,2,1435.4362793,2022-03-20,2022-04-02
None,Kryliya Sovetov,RUS,1,1434.97143555,2022-03-21,2022-04-02
None,Moreirense,POR,1,1434.94250488,2022-03-21,2022-04-03
None,Estoril,POR,1,1434.85473633,2022-03-21,2022-04-02
None,Reading,ENG,2,1434.77026367,2022-03-20,2022-04-02
None,Amorebieta,ESP,2,1434.54382324,2022-03-26,2022-04-02
None,Rostov,RUS,1,1434.48742676,2022-03-21,2022-04-02
None,Regensburg,GER,2,1434.31469727,2022-03-21,2022-04-02
None,Rubin Kazan,RUS,1,1433.87817383,2022-03-21,2022-04-01
None,Hatayspor,TUR,1,1431.40710449,2022-03-20,2022-04-04
None,Malaga,ESP,2,1430.86474609,2022-03-28,2022-04-01
None,Randers,DEN,1,1429.95739746,2022-03-21,2022-04-03
None,Hannover,GER,2,1429.20410156,2022-03-20,2022-04-02
None,Rostock,GER,2,1428.99230957,2022-03-20,2022-04-02
None,Amiens,FRA,2,1428.3560791,2022-03-20,2022-04-02
None,St Truiden,BEL,1,1428.15673828,2022-03-21,2022-04-02
None,Aarhus,DEN,1,1425.51147461,2022-03-21,2022-04-03
None,CSKA Sofia,BUL,1,1424.6628418,2022-03-21,2022-04-02
None,Adana Demirspor,TUR,1,1424.54040527,2022-03-20,2022-04-04
None,Aris,GRE,1,1424.16003418,2022-03-21,2022-04-03
None,Dijon,FRA,2,1423.72546387,2022-03-20,2022-04-02
None,Ascoli,ITA,2,1421.94116211,2022-03-21,2022-04-02
None,Caen,FRA,2,1421.47912598,2022-03-20,2022-04-02
None,Guingamp,FRA,2,1418.23168945,2022-03-20,2022-04-02
None,Sandhausen,GER,2,1417.44628906,2022-03-20,2022-04-03
None,Bristol City,ENG,2,1417.2253418,2022-03-20,2022-04-02
None,Kasimpasa,TUR,1,1416.81958008,2022-03-20,2022-04-03
None,Klagenfurt,AUT,1,1416.06726074,2022-03-21,2022-04-03
None,AEL Limassol,CYP,0,1415.82263184,2021-12-10,2022-07-01
None,Anorthosis,CYP,0,1415.42382812,2021-12-10,2022-07-01
None,Omonia,CYP,0,1415.42321777,2021-12-10,2022-07-19
None,Cercle Brugge,BEL,1,1412.63952637,2022-03-20,2022-04-03
None,Perugia,ITA,2,1412.25646973,2022-03-21,2022-04-03
None,Nijmegen,NED,1,1409.71691895,2022-03-20,2022-04-03
None,Sion,SUI,1,1409.44543457,2022-03-21,2022-04-02
None,Wattens,AUT,1,1409.10974121,2022-03-20,2022-04-02
None,Legia,POL,1,1407.67895508,2022-03-20,2022-04-02
None,Gaziantep FK,TUR,1,1406.12329102,2022-03-21,2022-04-03
None,Zwolle,NED,1,1405.99023438,2022-03-20,2022-04-03
None,FK Astana,KAZ,0,1405.34277344,2021-12-10,2022-07-06
None,Hartberg,AUT,1,1404.26965332,2022-03-21,2022-04-02
None,Vizela,POR,1,1404.17810059,2022-03-19,2022-04-02
None,Cambuur,NED,1,1404.11572266,2022-03-20,2022-04-03
None,Lillestrom,NOR,1,1403.49304199,2022-03-18,2022-04-02
None,Sverdlovsk,RUS,1,1403.2355957,2022-03-20,2022-04-03
None,Luzern,SUI,1,1403.0012207,2022-03-20,2022-04-03
None,Sittard,NED,1,1402.77758789,2022-03-21,2022-04-03
None,Antalyaspor,TUR,1,1402.30664062,2022-03-21,2022-04-02
None,Waalwijk,NED,1,1401.91320801,2022-03-21,2022-04-02
None,Slovan Liberec,CZE,1,1401.71411133,2022-03-21,2022-04-02
None,Go Ahead Eagles,NED,1,1401.26245117,2022-03-20,2022-04-03
None,Vorskla,UKR,1,1401.09924316,2021-12-12,2022-07-20
None,Fatih Karaguemruek,TUR,1,1400.67956543,2022-03-19,2022-04-02
None,Leuven,BEL,1,1400.55566406,2022-03-20,2022-04-02
None,Le Havre,FRA,2,1399.66015625,2022-03-20,2022-04-02
None,Piast Gliwice,POL,1,1399.11962891,2022-03-21,2022-04-03
None,Belenenses,POR,1,1397.29003906,2022-03-20,2022-04-02
None,Willem II,NED,1,1393.28466797,2022-03-21,2022-04-02
None,Norrkoeping,SWE,1,1392.92419434,2021-12-09,2022-04-03
None,Standard,BEL,1,1392.56018066,2022-03-21,2022-04-03
None,Pau,FRA,2,1391.61889648,2022-03-20,2022-04-02
None,Dresden,GER,2,1390.9699707,2022-03-21,2022-04-01
None,Kristiansund,NOR,1,1390.94274902,2022-03-18,2022-04-03
None,Craiova,ROM,1,1390.77282715,2022-03-19,2022-04-03
None,Silkeborg,DEN,1,1389.46728516,2022-03-21,2022-04-04
None,Bastia,FRA,2,1388.39477539,2022-03-20,2022-04-02
None,Ried,AUT,1,1388.21520996,2022-03-20,2022-04-02
None,Zilina,SLK,0,1387.72717285,2021-12-10,2022-07-01
None,Alcorcon,ESP,2,1386.84191895,2022-03-28,2022-04-02
None,Slovan Bratislava,SLK,0,1386.82275391,2021-12-10,2022-07-06
None,Kolos,UKR,1,1386.45605469,2021-12-13,2022-07-20
None,Grenoble,FRA,2,1386.0513916,2022-03-20,2022-04-02
None,Grasshoppers,SUI,1,1385.55310059,2022-03-21,2022-04-02
None,Reggina,ITA,2,1385.40441895,2022-03-20,2022-04-02
None,FC Khimki,RUS,1,1384.65979004,2022-03-20,2022-04-01
None,Tondela,POR,1,1384.6192627,2022-03-20,2022-04-03
None,Lechia,POL,1,1384.17810059,2022-03-20,2022-04-02
None,Ufa,RUS,1,1384.14855957,2022-03-21,2022-04-02
None,Asteras Tripolis,GRE,1,1383.94873047,2022-03-20,2022-04-02
None,Valenciennes,FRA,2,1383.74499512,2022-03-20,2022-04-02
None,Desna,UKR,1,1383.55114746,2021-12-11,2022-07-01
None,Olexandriya,UKR,1,1383.296875,2021-12-12,2022-07-20
None,Jablonec,CZE,1,1382.54882812,2022-03-20,2022-04-03
None,Como,ITA,2,1382.2019043,2022-03-21,2022-04-03
None,Trnava,SLK,0,1382.03161621,2021-12-10,2022-07-06
None,HNK Gorica,CRO,1,1380.93981934,2022-03-20,2022-04-02
None,Spal,ITA,2,1377.04882812,2022-03-21,2022-04-02
None,Arouca,POR,1,1376.82409668,2022-03-20,2022-04-02
None,Nordsjaelland,DEN,1,1376.18444824,2022-03-21,2022-04-03
None,Ternana,ITA,2,1375.3894043,2022-03-20,2022-04-02
None,Admira,AUT,1,1374.25561523,2022-03-20,2022-04-02
None,Dunajska,SLK,0,1373.97509766,2021-12-10,2022-07-06
None,Mjaellby,SWE,1,1372.98596191,2021-12-09,2022-04-04
None,Nizhny Novgorod,RUS,1,1372.85644531,2022-03-20,2022-04-02
None,Kortrijk,BEL,1,1372.67077637,2022-03-21,2022-04-02
None,Kayseri,TUR,1,1371.25793457,2022-03-19,2022-04-02
None,Sarpsborg,NOR,1,1370.63903809,2022-03-18,2022-04-03
None,Goeteborg,SWE,1,1369.44104004,2021-12-09,2022-04-03
None,Niort,FRA,2,1368.25097656,2022-03-20,2022-04-02
None,Cukaricki,SRB,1,1364.77087402,2022-03-20,2022-04-04
None,Peterboro,ENG,2,1364.45898438,2022-03-21,2022-04-02
None,Odense,DEN,1,1364.11206055,2022-03-21,2022-04-03
None,Sigma Olomouc,CZE,1,1362.83312988,2022-03-21,2022-04-02
None,Haugesund,NOR,1,1362.67785645,2022-03-18,2022-04-03
None,Lok Zagreb,CRO,1,1361.23010254,2022-03-20,2022-04-04
None,Oostende,BEL,1,1359.71008301,2022-03-19,2022-04-02
None,Stromsgodset,NOR,1,1359.50366211,2022-03-18,2022-04-03
None,Mlada Boleslav,CZE,1,1359.01428223,2022-03-21,2022-04-03
None,Haecken,SWE,1,1358.09729004,2021-12-09,2022-04-02
None,Zulte Waregem,BEL,1,1357.97497559,2022-03-20,2022-04-02
None,Rodez,FRA,2,1355.6730957,2022-03-20,2022-04-02
None,Aue,GER,2,1355.10864258,2022-03-19,2022-04-01
None,Tula,RUS,1,1354.03771973,2022-03-20,2022-04-02
None,Hearts,SCO,1,1352.3449707,2022-03-20,2022-04-02
None,Viborg,DEN,1,1351.52954102,2022-03-21,2022-04-01
None,Gornik,POL,1,1349.93347168,2022-03-21,2022-04-04
None,Netanya,ISR,1,1348.47839355,2022-03-20,2022-04-02
None,Crotone,ITA,2,1348.31384277,2022-03-20,2022-04-03
None,Odd Grenland,NOR,1,1348.05773926,2022-03-18,2022-04-03
None,Giresunspor,TUR,1,1346.90991211,2022-03-21,2022-04-02
None,Soligorsk,BLR,1,1346.53295898,2022-03-20,2022-07-06
None,Eupen,BEL,1,1344.3984375,2022-03-20,2022-04-03
None,Ingolstadt,GER,2,1343.43005371,2022-03-21,2022-04-01
None,Viitorul,ROM,1,1340.48608398,2022-03-20,2022-04-02
None,Altach,AUT,1,1340.10375977,2022-03-20,2022-04-02
None,Nancy,FRA,2,1339.23291016,2022-03-20,2022-04-04
None,Dunkerque,FRA,2,1339.14794922,2022-03-20,2022-04-02
None,Kalmar,SWE,1,1338.9642334,2021-12-09,2022-04-03
None,Ceske Budejovice,CZE,1,1338.95263672,2022-03-21,2022-04-02
