Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2055.68505859,2022-05-01,2022-05-03
2,Man City,ENG,1,2047.65002441,2022-05-01,2022-05-03
3,Bayern,GER,1,1975.66503906,2022-05-01,2022-05-04
4,Real Madrid,ESP,1,1970.91821289,2022-05-01,2022-05-03
5,Chelsea,ENG,1,1926.09472656,2022-04-29,2022-05-01
6,Ajax,NED,1,1888.04309082,2022-05-01,2022-05-05
7,Barcelona,ESP,1,1876.64428711,2022-04-29,2022-05-01
8,Arsenal,ENG,1,1873.87609863,2022-04-29,2022-05-01
9,Paris SG,FRA,1,1861.09790039,2022-04-30,2022-05-05
10,RB Leipzig,GER,1,1847.80419922,2022-05-01,2022-05-01
11,Inter,ITA,1,1846.17126465,2022-05-01,2022-05-01
12,Man United,ENG,1,1845.56469727,2022-05-01,2022-05-01
13,Tottenham,ENG,1,1842.87011719,2022-05-01,2022-05-01
14,Atletico,ESP,1,1840.9498291,2022-05-01,2022-05-02
15,Villarreal,ESP,1,1823.09838867,2022-05-01,2022-05-03
16,Porto,POR,1,1820.41943359,2022-05-01,2022-05-04
17,Sevilla,ESP,1,1816.75476074,2022-04-30,2022-05-03
18,West Ham,ENG,1,1810.97717285,2022-04-29,2022-05-01
19,Juventus,ITA,1,1809.70056152,2022-05-01,2022-05-01
20,Milan,ITA,1,1801.2322998,2022-05-01,2022-05-01
21,Dortmund,GER,1,1796.3425293,2022-05-01,2022-05-05
22,Leicester,ENG,1,1792.05603027,2022-04-29,2022-05-01
23,Napoli,ITA,1,1780.81237793,2022-05-01,2022-05-02
24,Leverkusen,GER,1,1774.8807373,2022-05-01,2022-05-02
25,Benfica,POR,1,1767.8215332,2022-05-01,2022-05-05
26,Salzburg,AUT,1,1766.72875977,2022-05-01,2022-05-05
27,Crystal Palace,ENG,1,1761.87463379,2022-05-01,2022-05-01
28,Sporting,POR,1,1759.49243164,2022-04-26,2022-05-01
29,PSV,NED,1,1756.70361328,2022-04-29,2022-05-01
30,Betis,ESP,1,1752.20446777,2022-05-01,2022-05-02
31,Newcastle,ENG,1,1751.95288086,2022-05-01,2022-05-02
32,Aston Villa,ENG,1,1750.19519043,2022-05-01,2022-05-03
33,Sociedad,ESP,1,1748.09875488,2022-04-28,2022-05-01
34,Atalanta,ITA,1,1748.03088379,2022-04-29,2022-05-01
35,Roma,ITA,1,1747.65026855,2022-04-29,2022-05-01
36,Wolves,ENG,1,1746.05432129,2022-05-01,2022-05-01
37,Freiburg,GER,1,1744.52270508,2022-05-01,2022-05-01
38,Frankfurt,GER,1,1742.79162598,2022-05-01,2022-05-01
39,Brighton,ENG,1,1741.84692383,2022-05-01,2022-05-01
40,Bilbao,ESP,1,1741.37231445,2022-05-01,2022-05-01
41,Feyenoord,NED,1,1740.23522949,2022-05-01,2022-05-01
42,Monaco,FRA,1,1736.54516602,2022-05-01,2022-05-01
43,Marseille,FRA,1,1732.43591309,2022-05-01,2022-05-01
44,Lyon,FRA,1,1727.36486816,2022-05-01,2022-05-01
45,Brentford,ENG,1,1723.95263672,2022-05-01,2022-05-01
46,Rennes,FRA,1,1721.04748535,2022-05-01,2022-05-01
47,Burnley,ENG,1,1717.2388916,2022-05-01,2022-05-01
48,Leeds,ENG,1,1717.00634766,2022-05-01,2022-05-01
49,Lille,FRA,1,1716.04638672,2022-05-01,2022-05-01
50,Union Berlin,GER,1,1712.35327148,2022-04-30,2022-05-01
51,Lazio,ITA,1,1711.19543457,2022-05-01,2022-05-04
52,Southampton,ENG,1,1706.16955566,2022-05-01,2022-05-03
53,Celta,ESP,1,1703.61315918,2022-04-28,2022-05-01
54,Koeln,GER,1,1701.53051758,2022-05-01,2022-05-05
55,Everton,ENG,1,1698.86120605,2022-05-01,2022-05-01
56,Valencia,ESP,1,1691.87365723,2022-05-01,2022-05-02
57,Hoffenheim,GER,1,1689.33789062,2022-05-01,2022-05-02
58,Osasuna,ESP,1,1688.43334961,2022-05-01,2022-05-01
59,Rangers,SCO,1,1685.63171387,2022-04-29,2022-05-01
60,Gladbach,GER,1,1684.16894531,2022-04-29,2022-05-02
61,Zenit,RUS,1,1681.56494141,2022-05-01,2022-05-07
62,Mainz,GER,1,1675.65063477,2022-05-01,2022-05-04
63,Getafe,ESP,1,1673.31872559,2022-05-01,2022-05-02
64,Strasbourg,FRA,1,1672.38537598,2022-05-01,2022-05-05
65,Wolfsburg,GER,1,1668.9810791,2022-05-01,2022-05-05
66,Shakhtar,UKR,1,1666.31530762,2022-04-29,2022-05-01
67,Alkmaar,NED,1,1662.75512695,2022-05-01,2022-05-01
68,Nice,FRA,1,1661.1126709,2022-05-01,2022-05-01
69,Crvena Zvezda,SRB,1,1658.48071289,2022-05-01,2022-05-01
70,Braga,POR,1,1656.51318359,2022-05-01,2022-05-02
71,Fulham,ENG,2,1654.82165527,2022-05-01,2022-05-02
72,Slavia Praha,CZE,1,1650.72375488,2022-05-01,2022-05-01
