Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2019.89819336,2021-11-29,2021-12-01
2,Bayern,GER,1,2015.71765137,2021-11-28,2021-12-04
3,Liverpool,ENG,1,2003.7322998,2021-11-28,2021-12-01
4,Chelsea,ENG,1,1965.55627441,2021-11-29,2021-12-01
5,Real Madrid,ESP,1,1932.95703125,2021-11-29,2021-12-01
6,Paris SG,FRA,1,1918.87609863,2021-11-29,2021-12-01
7,Ajax,NED,1,1893.52990723,2021-11-29,2021-12-02
8,Inter,ITA,1,1889.00158691,2021-11-28,2021-12-01
9,Man United,ENG,1,1886.43103027,2021-11-29,2021-12-02
10,Arsenal,ENG,1,1861.52880859,2021-11-28,2021-12-02
11,Atletico,ESP,1,1856.61621094,2021-11-29,2021-12-02
12,West Ham,ENG,1,1847.98742676,2021-11-29,2021-12-01
13,Barcelona,ESP,1,1841.71777344,2021-11-28,2021-12-04
14,Dortmund,GER,1,1831.89294434,2021-11-28,2021-12-04
15,Atalanta,ITA,1,1827.58459473,2021-12-01,2021-12-03
16,Porto,POR,1,1824.61853027,2021-11-29,2021-12-03
17,Sevilla,ESP,1,1824.6159668,2021-11-29,2021-12-04
18,Juventus,ITA,1,1823.28369141,2021-12-01,2021-12-05
19,Napoli,ITA,1,1814.61242676,2021-11-29,2021-12-01
20,Milan,ITA,1,1804.39550781,2021-11-29,2021-12-01
21,Leverkusen,GER,1,1788.79211426,2021-11-29,2021-12-02
22,Benfica,POR,1,1788.70654297,2021-11-28,2021-12-02
23,Tottenham,ENG,1,1784.49279785,2021-11-28,2021-12-02
24,RB Leipzig,GER,1,1780.85205078,2021-11-29,2021-12-03
25,Leicester,ENG,1,1780.07580566,2021-11-29,2021-12-01
26,Lyon,FRA,1,1763.48828125,2021-11-29,2021-12-01
27,Villarreal,ESP,1,1761.9967041,2021-11-28,2021-12-01
28,Sporting,POR,1,1761.19140625,2021-11-29,2021-12-01
29,Leeds,ENG,1,1760.80603027,2021-12-01,2021-12-01
30,Sociedad,ESP,1,1757.07434082,2021-12-01,2021-12-01
