Rank,Club,Country,Level,Elo,From,To
1,Bayern,GER,1,2026.75073242,2021-12-18,2022-01-07
2,Man City,ENG,1,2017.88549805,2021-12-30,2022-01-01
3,Liverpool,ENG,1,1990.73815918,2021-12-29,2022-01-02
4,Real Madrid,ESP,1,1957.04797363,2021-12-23,2022-01-02
5,Chelsea,ENG,1,1932.7019043,2021-12-30,2022-01-02
6,Paris SG,FRA,1,1908.59985352,2021-12-23,2022-01-09
7,Ajax,NED,1,1894.22644043,2021-12-23,2022-01-09
8,Inter,ITA,1,1891.47741699,2021-12-23,2022-01-09
9,Man United,ENG,1,1879.7199707,2021-12-31,2022-01-03
10,Arsenal,ENG,1,1866.80529785,2021-12-27,2022-01-01
11,Sevilla,ESP,1,1838.80065918,2021-12-23,2022-01-02
12,Atletico,ESP,1,1836.66369629,2021-12-23,2022-01-02
13,Barcelona,ESP,1,1832.60400391,2021-12-22,2022-01-02
14,Porto,POR,1,1822.78540039,2021-12-31,2022-01-08
15,Juventus,ITA,1,1822.43603516,2021-12-31,2022-01-06
16,West Ham,ENG,1,1812.18469238,2021-12-29,2022-01-01
17,Dortmund,GER,1,1810.92907715,2021-12-29,2022-01-08
18,Tottenham,ENG,1,1798.23730469,2021-12-29,2022-01-01
19,Villarreal,ESP,1,1797.37963867,2021-12-27,2022-01-03
20,Atalanta,ITA,1,1796.20251465,2021-12-27,2022-01-06
21,Milan,ITA,1,1792.55541992,2021-12-27,2022-01-06
22,Napoli,ITA,1,1781.93945312,2021-12-23,2022-01-06
23,Sporting,POR,1,1773.02514648,2021-12-31,2022-01-07
24,Leicester,ENG,1,1772.84924316,2021-12-31,2022-01-07
25,Benfica,POR,1,1772.28710938,2021-12-31,2022-01-07
26,Salzburg,AUT,1,1769.27612305,2021-12-29,2022-01-07
27,Lille,FRA,1,1766.56262207,2021-12-29,2022-01-07
28,RB Leipzig,GER,1,1764.19592285,2021-12-29,2022-01-07
29,Frankfurt,GER,1,1763.87060547,2021-12-29,2022-01-07
30,Betis,ESP,1,1751.18408203,2021-12-20,2022-01-02
31,Leverkusen,GER,1,1750.96472168,2021-12-20,2022-01-02
32,Wolves,ENG,1,1745.51794434,2021-12-27,2022-01-02
33,Aston Villa,ENG,1,1741.03955078,2021-12-27,2022-01-02
34,Lyon,FRA,1,1740.80529785,2021-12-23,2022-01-02
35,Sociedad,ESP,1,1738.90979004,2021-12-19,2022-01-02
36,PSV,NED,1,1735.5703125,2021-12-24,2022-01-09
37,Everton,ENG,1,1732.85766602,2021-12-20,2022-01-02
38,Brighton,ENG,1,1731.41931152,2021-12-30,2022-01-02
39,Monaco,FRA,1,1729.01574707,2021-12-30,2022-01-09
40,Leeds,ENG,1,1726.41003418,2021-12-30,2022-01-02
41,Crystal Palace,ENG,1,1722.47546387,2022-01-01,2022-01-01
42,Freiburg,GER,1,1721.27990723,2022-01-01,2022-01-01
43,Hoffenheim,GER,1,1721.04248047,2022-01-01,2022-01-01
44,Roma,ITA,1,1720.11120605,2022-01-01,2022-01-01
45,Valencia,ESP,1,1711.37072754,2022-01-01,2022-01-03
46,Feyenoord,NED,1,1708.45324707,2021-12-23,2022-01-02
47,Southampton,ENG,1,1706.72387695,2021-12-29,2022-01-02
48,Lazio,ITA,1,1702.2310791,2021-12-27,2022-01-02
49,Bilbao,ESP,1,1702.05297852,2021-12-27,2022-01-02
50,Rennes,FRA,1,1701.59448242,2021-12-27,2022-01-02
51,Olympiakos,GRE,1,1696.92822266,2021-12-27,2022-01-02
52,Celta,ESP,1,1693.95605469,2021-12-27,2022-01-02
53,Burnley,ENG,1,1686.64477539,2021-12-31,2022-01-02
54,Union Berlin,GER,1,1686.35266113,2021-12-23,2022-01-02
55,Gladbach,GER,1,1684.72753906,2021-12-27,2022-01-02
56,Marseille,FRA,1,1683.59216309,2021-12-27,2022-01-07
57,Mainz,GER,1,1680.87878418,2021-12-27,2022-01-08
58,Slavia Praha,CZE,1,1677.41882324,2021-12-27,2022-01-02
59,Granada,ESP,1,1675.72912598,2021-12-30,2022-01-02
60,Montpellier,FRA,1,1675.6072998,2021-12-30,2022-01-09
61,Alkmaar,NED,1,1675.17370605,2021-12-30,2022-01-09
62,Brentford,ENG,1,1675.16943359,2021-12-30,2022-01-02
63,Young Boys,SUI,1,1673.75390625,2021-12-23,2022-01-08
64,Zenit,RUS,1,1670.60717773,2021-12-23,2022-01-09
65,Wolfsburg,GER,1,1669.43115234,2021-12-23,2022-01-09
66,Shakhtar,UKR,1,1666.31530762,2021-12-17,2022-01-09
67,Newcastle,ENG,1,1666.23034668,2021-12-28,2022-01-09
68,Espanyol,ESP,1,1665.9420166,2022-01-01,2022-01-09
69,Nice,FRA,1,1664.44067383,2022-01-01,2022-01-09
70,Rangers,SCO,1,1664.28967285,2022-01-01,2022-01-10
71,Osasuna,ESP,1,1662.97155762,2022-01-01,2022-01-03
72,Crvena Zvezda,SRB,1,1659.9185791,2022-01-01,2022-01-03
73,Rayo Vallecano,ESP,1,1659.82434082,2022-01-01,2022-01-02
74,Sassuolo,ITA,1,1659.50183105,2022-01-01,2022-01-02
75,Fiorentina,ITA,1,1654.15026855,2021-12-29,2022-01-03
76,Watford,ENG,1,1652.32421875,2021-12-29,2022-01-01
77,Fulham,ENG,2,1642.49291992,2021-12-21,2022-01-02
78,Braga,POR,1,1642.31408691,2021-12-31,2022-01-02
79,Strasbourg,FRA,1,1636.95776367,2021-12-31,2022-01-02
80,Koeln,GER,1,1636.31665039,2021-12-31,2022-01-02
81,Dynamo Kyiv,UKR,1,1635.98864746,2021-12-31,2022-01-02
82,Dinamo Zagreb,CRO,1,1634.73352051,2021-12-20,2022-01-02
83,Almeria,ESP,2,1633.96374512,2021-12-20,2022-01-02
84,Getafe,ESP,1,1631.52246094,2021-12-20,2022-01-02
85,Hertha,GER,1,1630.60839844,2021-12-19,2022-01-02
86,Stuttgart,GER,1,1627.42114258,2021-12-23,2022-01-02
87,Nantes,FRA,1,1622.18725586,2021-12-23,2022-01-02
88,Lens,FRA,1,1621.66064453,2021-12-23,2022-01-02
89,Mallorca,ESP,1,1620.69470215,2021-12-23,2022-01-02
90,Bournemouth,ENG,2,1619.5123291,2021-12-31,2022-01-02
91,Reims,FRA,1,1612.84985352,2021-12-31,2022-01-08
92,Eibar,ESP,2,1610.41821289,2022-01-01,2022-01-10
93,Bielefeld,GER,1,1608.23547363,2022-01-01,2022-01-08
94,Bologna,ITA,1,1606.76928711,2021-12-28,2022-01-08
95,Augsburg,GER,1,1606.07458496,2021-12-29,2022-01-06
96,Bodoe Glimt,NOR,1,1606.02233887,2021-12-29,2022-01-06
97,Sampdoria,ITA,1,1601.60534668,2021-12-29,2022-01-06
98,Verona,ITA,1,1599.8215332,2021-12-29,2022-01-06
99,Torino,ITA,1,1598.90515137,2021-12-29,2022-01-02
100,Norwich,ENG,1,1598.44873047,2021-12-29,2022-01-02
None,Alaves,ESP,1,1597.49279785,2021-12-22,2022-01-02
None,FC Kobenhavn,DEN,1,1595.70581055,2021-12-10,2022-01-24
None,Udinese,ITA,1,1595.33190918,2021-12-19,2022-01-09
None,Brugge,BEL,1,1595.24462891,2021-12-27,2022-01-15
None,Vitesse,NED,1,1593.93139648,2021-12-22,2022-01-15
None,West Brom,ENG,2,1592.54956055,2021-12-28,2022-01-02
None,Valladolid,ESP,2,1592.44787598,2021-12-20,2022-01-02
None,Brest,FRA,1,1589.62219238,2021-12-23,2022-01-09
None,Levante,ESP,1,1587.98828125,2021-12-21,2022-01-03
None,Bochum,GER,1,1586.40783691,2021-12-19,2022-01-09
None,Celtic,SCO,1,1585.66625977,2021-12-27,2022-01-17
None,Elche,ESP,1,1583.8449707,2021-12-19,2022-01-02
None,Midtjylland,DEN,1,1582.10375977,2021-12-10,2022-02-17
None,Trabzonspor,TUR,1,1580.78125,2021-12-26,2022-01-07
None,Angers,FRA,1,1580.16064453,2021-12-23,2022-01-16
None,Utrecht,NED,1,1579.11950684,2021-12-23,2022-01-16
None,Basel,SUI,1,1577.49768066,2021-12-20,2022-01-30
None,Sparta Praha,CZE,1,1577.31591797,2021-12-19,2022-02-05
None,Empoli,ITA,1,1575.9744873,2021-12-23,2022-01-06
None,Cadiz,ESP,1,1575.92553711,2021-12-20,2022-01-03
None,Sheffield United,ENG,2,1573.45568848,2021-12-21,2022-01-15
None,Darmstadt,GER,2,1572.50036621,2021-12-20,2022-01-15
None,Blackburn,ENG,2,1571.52819824,2021-12-30,2022-01-02
None,Girona,ESP,2,1570.43334961,2021-12-18,2022-01-02
None,Partizan,SRB,1,1569.3536377,2021-12-19,2022-02-12
None,Werder,GER,2,1565.39758301,2021-12-20,2022-01-15
None,Leganes,ESP,2,1558.53100586,2021-12-19,2022-01-02
None,Tenerife,ESP,2,1557.03735352,2021-12-20,2022-01-02
None,Rapid Wien,AUT,1,1555.09326172,2021-12-13,2022-02-11
None,LASK,AUT,1,1554.89868164,2021-12-13,2022-02-13
None,Huesca,ESP,2,1554.48718262,2021-12-20,2022-01-02
