Rank,Club,Country,Level,Elo,From,To
1,Man City,ENG,1,2012.6940918,2021-08-29,2021-09-11
2,Bayern,GER,1,1992.08764648,2021-08-29,2021-09-11
3,Liverpool,ENG,1,1947.64794922,2021-08-29,2021-09-12
4,Real Madrid,ESP,1,1941.68847656,2021-08-29,2021-09-11
5,Chelsea,ENG,1,1938.49182129,2021-08-29,2021-09-11
6,Man United,ENG,1,1932.66467285,2021-08-30,2021-09-11
7,Barcelona,ESP,1,1916.14367676,2021-08-30,2021-09-14
8,Inter,ITA,1,1906.67053223,2021-08-28,2021-09-12
9,Atletico,ESP,1,1898.23242188,2021-08-30,2021-09-12
10,Paris SG,FRA,1,1889.52587891,2021-08-30,2021-09-11
11,Tottenham,ENG,1,1854.26806641,2021-08-30,2021-09-11
12,Sevilla,ESP,1,1850.68994141,2021-08-29,2021-09-14
13,Dortmund,GER,1,1844.77758789,2021-08-29,2021-09-11
14,Atalanta,ITA,1,1834.8972168,2021-08-29,2021-09-11
15,Arsenal,ENG,1,1831.81262207,2021-08-29,2021-09-11
16,Juventus,ITA,1,1829.8638916,2021-08-29,2021-09-11
17,West Ham,ENG,1,1828.11218262,2021-08-29,2021-09-11
18,Ajax,NED,1,1820.17626953,2021-08-30,2021-09-11
19,Villarreal,ESP,1,1819.03417969,2021-08-30,2021-09-12
20,Milan,ITA,1,1814.04199219,2021-08-30,2021-09-11
21,Napoli,ITA,1,1811.77233887,2021-08-30,2021-09-11
22,RB Leipzig,GER,1,1805.98718262,2021-08-30,2021-09-11
23,Porto,POR,1,1804.93115234,2021-08-29,2021-09-11
24,Leicester,ENG,1,1800.70166016,2021-08-29,2021-09-11
25,Everton,ENG,1,1790.83557129,2021-08-29,2021-09-13
26,Wolfsburg,GER,1,1785.54187012,2021-08-30,2021-09-11
27,Leeds,ENG,1,1773.81311035,2021-08-30,2021-09-11
28,Salzburg,AUT,1,1769.25952148,2021-08-29,2021-09-11
29,Benfica,POR,1,1767.71728516,2021-08-30,2021-09-11
30,Sociedad,ESP,1,1764.52758789,2021-08-29,2021-09-12
31,Leverkusen,GER,1,1758.30944824,2021-08-29,2021-09-11
32,Roma,ITA,1,1757.87524414,2021-08-30,2021-09-11
33,Lazio,ITA,1,1746.65661621,2021-08-29,2021-09-12
34,Aston Villa,ENG,1,1745.4967041,2021-08-29,2021-09-11
35,Frankfurt,GER,1,1744.88024902,2021-08-29,2021-09-11
36,Gladbach,GER,1,1732.01257324,2021-08-30,2021-09-11
37,Betis,ESP,1,1729.703125,2021-08-29,2021-09-11
38,Brighton,ENG,1,1728.15344238,2021-08-29,2021-09-11
39,Sporting,POR,1,1727.59289551,2021-08-29,2021-09-11
40,Lille,FRA,1,1727.12536621,2021-08-30,2021-09-10
41,Wolves,ENG,1,1723.32287598,2021-08-30,2021-09-10
42,Bilbao,ESP,1,1721.94384766,2021-08-29,2021-09-10
43,Lyon,FRA,1,1716.52514648,2021-08-28,2021-09-10
44,Valencia,ESP,1,1715.89025879,2021-08-28,2021-09-10
45,Celta,ESP,1,1707.31811523,2021-08-29,2021-09-11
46,Olympiakos,GRE,1,1707.07177734,2021-08-27,2021-09-11
47,Newcastle,ENG,1,1705.55102539,2021-08-29,2021-09-11
48,Sassuolo,ITA,1,1702.35839844,2021-08-30,2021-09-11
49,Hoffenheim,GER,1,1699.96362305,2021-08-30,2021-09-11
50,Southampton,ENG,1,1699.46179199,2021-08-30,2021-09-11
51,Burnley,ENG,1,1699.07641602,2021-08-30,2021-09-11
52,PSV,NED,1,1697.8729248,2021-08-29,2021-09-11
53,Union Berlin,GER,1,1697.06311035,2021-08-30,2021-09-11
54,Freiburg,GER,1,1696.17456055,2021-08-29,2021-09-11
55,Crystal Palace,ENG,1,1692.8026123,2021-08-30,2021-09-11
56,Brentford,ENG,1,1692.49743652,2021-08-30,2021-09-11
57,Shakhtar,UKR,1,1692.38647461,2021-08-30,2021-09-11
58,Young Boys,SUI,1,1692.04418945,2021-08-30,2021-09-11
59,Osasuna,ESP,1,1689.89306641,2021-08-30,2021-09-11
60,Monaco,FRA,1,1680.54516602,2021-08-30,2021-09-11
61,Crvena Zvezda,SRB,1,1677.8972168,2021-08-30,2021-09-11
62,Dynamo Kyiv,UKR,1,1675.29821777,2021-08-30,2021-09-11
63,Zenit,RUS,1,1672.58911133,2021-08-30,2021-09-11
64,Watford,ENG,1,1670.37963867,2021-08-30,2021-09-11
65,Slavia Praha,CZE,1,1669.75817871,2021-08-30,2021-09-11
66,Mainz,GER,1,1666.3157959,2021-08-30,2021-09-11
67,Levante,ESP,1,1665.96362305,2021-08-30,2021-09-11
68,Granada,ESP,1,1661.41027832,2021-08-30,2021-09-13
69,Rangers,SCO,1,1661.31201172,2021-08-30,2021-09-11
70,Getafe,ESP,1,1656.16455078,2021-08-30,2021-09-13
71,Fulham,ENG,2,1650.97021484,2021-08-29,2021-09-11
72,Alkmaar,NED,1,1648.16247559,2021-08-30,2021-09-11
73,Mallorca,ESP,1,1647.93103027,2021-08-30,2021-09-11
74,West Brom,ENG,2,1647.31091309,2021-08-30,2021-09-11
75,Espanyol,ESP,1,1647.20788574,2021-08-30,2021-09-11
76,Norwich,ENG,1,1643.15808105,2021-08-30,2021-09-11
77,Sampdoria,ITA,1,1643.00549316,2021-08-30,2021-09-11
78,Marseille,FRA,1,1639.09765625,2021-08-29,2021-09-11
79,Stuttgart,GER,1,1638.9543457,2021-08-29,2021-09-12
80,Dinamo Zagreb,CRO,1,1638.3190918,2021-08-30,2021-09-11
81,Fiorentina,ITA,1,1630.1361084,2021-08-30,2021-09-11
82,Braga,POR,1,1626.58337402,2021-08-30,2021-09-11
83,Rennes,FRA,1,1624.78540039,2021-08-30,2021-09-11
84,Valladolid,ESP,2,1621.64807129,2021-08-30,2021-09-05
85,Nice,FRA,1,1619.66967773,2021-08-30,2021-09-05
86,Hertha,GER,1,1619.20263672,2021-08-30,2021-09-05
87,Huesca,ESP,2,1615.40551758,2021-08-30,2021-09-05
88,Koeln,GER,1,1613.17736816,2021-08-30,2021-09-05
89,Feyenoord,NED,1,1612.16259766,2021-08-30,2021-09-05
90,Alaves,ESP,1,1611.41259766,2021-08-30,2021-09-05
91,Brugge,BEL,1,1611.41125488,2021-08-30,2021-09-05
92,Rayo Vallecano,ESP,1,1610.30114746,2021-08-30,2021-09-05
93,Bournemouth,ENG,2,1609.93481445,2021-08-29,2021-09-05
94,Bielefeld,GER,1,1609.66882324,2021-08-29,2021-09-05
95,Cadiz,ESP,1,1608.22485352,2021-08-30,2021-09-05
96,Bologna,ITA,1,1606.57556152,2021-08-30,2021-09-05
97,Udinese,ITA,1,1606.12646484,2021-08-30,2021-09-05
98,Eibar,ESP,2,1601.83129883,2021-08-30,2021-09-04
99,Montpellier,FRA,1,1600.66906738,2021-08-30,2021-09-04
100,Elche,ESP,1,1600.17883301,2021-08-30,2021-09-04
None,Genoa,ITA,1,1599.09606934,2021-08-30,2021-09-12
None,Girona,ESP,2,1598.70385742,2021-08-30,2021-09-03
None,FC Kobenhavn,DEN,1,1592.41564941,2021-08-30,2021-09-12
None,Rapid Wien,AUT,1,1591.19274902,2021-08-30,2021-09-11
None,Lens,FRA,1,1586.12939453,2021-08-30,2021-09-12
None,Lok Moskva,RUS,1,1586.12036133,2021-08-28,2021-09-11
None,Cagliari,ITA,1,1583.51049805,2021-08-30,2021-09-12
None,Werder,GER,2,1582.89343262,2021-08-30,2021-09-11
None,Almeria,ESP,2,1581.86169434,2021-08-30,2021-09-04
None,Partizan,SRB,1,1581.81738281,2021-08-30,2021-09-11
None,Leganes,ESP,2,1581.76489258,2021-08-29,2021-09-04
None,Malmoe,SWE,1,1581.65283203,2021-08-30,2021-09-11
None,Sheffield United,ENG,2,1581.18579102,2021-08-29,2021-09-11
None,Augsburg,GER,1,1579.2911377,2021-08-29,2021-09-11
None,Torino,ITA,1,1578.96862793,2021-08-29,2021-09-12
None,Verona,ITA,1,1577.57775879,2021-08-28,2021-09-13
None,Sparta Praha,CZE,1,1574.97497559,2021-08-29,2021-09-11
None,Angers,FRA,1,1571.95080566,2021-08-30,2021-09-12
None,Genk,BEL,1,1571.3918457,2021-08-30,2021-09-12
None,Midtjylland,DEN,1,1569.94689941,2021-08-30,2021-09-10
None,Bochum,GER,1,1569.19702148,2021-08-29,2021-09-12
None,Reims,FRA,1,1568.63110352,2021-08-30,2021-09-12
None,Cardiff,ENG,2,1567.7232666,2021-08-29,2021-09-12
None,Sturm Graz,AUT,1,1567.27624512,2021-08-30,2021-09-12
None,Nantes,FRA,1,1566.38122559,2021-08-28,2021-09-12
