Rank,Club,Country,Level,Elo,From,To
1,Bayern,GER,1,2020.96337891,2021-10-01,2021-10-03
2,Man City,ENG,1,2001.39111328,2021-10-01,2021-10-03
3,Liverpool,ENG,1,1963.77905273,2021-10-01,2021-10-03
4,Chelsea,ENG,1,1933.4420166,2021-10-01,2021-10-02
5,Real Madrid,ESP,1,1927.2755127,2021-10-01,2021-10-03
6,Paris SG,FRA,1,1920.52990723,2021-10-01,2021-10-03
7,Man United,ENG,1,1916.9095459,2021-10-01,2021-10-02
8,Inter,ITA,1,1889.17736816,2021-10-01,2021-10-02
9,Atletico,ESP,1,1877.94824219,2021-10-01,2021-10-02
10,Barcelona,ESP,1,1866.19812012,2021-10-01,2021-10-02
11,Ajax,NED,1,1858.56164551,2021-10-01,2021-10-02
12,Dortmund,GER,1,1855.21435547,2021-10-01,2021-10-02
13,Arsenal,ENG,1,1844.3326416,2021-10-01,2021-10-02
14,Sevilla,ESP,1,1843.53149414,2021-10-01,2021-10-02
15,Juventus,ITA,1,1838.83728027,2021-10-01,2021-10-02
16,Atalanta,ITA,1,1831.11022949,2021-10-01,2021-10-03
17,West Ham,ENG,1,1830.07434082,2021-10-01,2021-10-03
18,Napoli,ITA,1,1820.04492188,2021-10-01,2021-10-03
19,Milan,ITA,1,1811.0637207,2021-10-01,2021-10-03
20,Villarreal,ESP,1,1807.47399902,2021-10-01,2021-10-03
21,Tottenham,ENG,1,1806.23730469,2021-10-01,2021-10-03
22,Porto,POR,1,1798.3269043,2021-10-01,2021-10-02
23,Benfica,POR,1,1792.44921875,2021-10-01,2021-10-03
24,RB Leipzig,GER,1,1787.8371582,2021-10-01,2021-10-02
25,Everton,ENG,1,1782.87646484,2021-10-01,2021-10-02
26,Salzburg,AUT,1,1779.65673828,2021-10-01,2021-10-03
27,Leverkusen,GER,1,1778.37866211,2021-10-01,2021-10-03
28,Wolfsburg,GER,1,1777.3651123,2021-10-01,2021-10-02
29,Sociedad,ESP,1,1767.23913574,2021-10-01,2021-10-02
30,Leicester,ENG,1,1764.53259277,2021-10-01,2021-10-02
31,Aston Villa,ENG,1,1762.62805176,2021-10-01,2021-10-03
32,Roma,ITA,1,1753.68908691,2021-10-01,2021-10-02
33,Leeds,ENG,1,1752.5213623,2021-10-01,2021-10-02
34,Betis,ESP,1,1748.39001465,2021-10-01,2021-10-02
35,Lyon,FRA,1,1744.50097656,2021-10-01,2021-10-02
36,Frankfurt,GER,1,1740.35058594,2021-10-01,2021-10-02
37,Gladbach,GER,1,1739.65930176,2021-10-01,2021-10-02
38,Brighton,ENG,1,1739.25769043,2021-10-01,2021-10-02
39,Lazio,ITA,1,1729.06738281,2021-10-01,2021-10-02
40,Wolves,ENG,1,1722.54516602,2021-10-01,2021-10-02
41,Lille,FRA,1,1722.43383789,2021-10-01,2021-10-03
42,Olympiakos,GRE,1,1721.20202637,2021-10-01,2021-10-03
43,Young Boys,SUI,1,1716.70947266,2021-10-01,2021-10-03
44,Bilbao,ESP,1,1712.06420898,2021-10-01,2021-10-01
45,Sporting,POR,1,1711.19226074,2021-10-01,2021-10-02
46,Valencia,ESP,1,1708.14038086,2021-10-01,2021-10-02
47,Freiburg,GER,1,1704.12744141,2021-10-01,2021-10-02
48,PSV,NED,1,1703.98974609,2021-10-01,2021-10-03
49,Crystal Palace,ENG,1,1703.34741211,2021-10-01,2021-10-03
50,Crvena Zvezda,SRB,1,1701.14746094,2021-10-01,2021-10-03
51,Hoffenheim,GER,1,1700.52062988,2021-10-01,2021-10-02
52,Monaco,FRA,1,1700.19384766,2021-10-01,2021-10-02
53,Brentford,ENG,1,1699.63293457,2021-10-01,2021-10-02
54,Celta,ESP,1,1697.19104004,2021-10-01,2021-10-02
55,Newcastle,ENG,1,1696.33178711,2021-10-01,2021-10-02
56,Southampton,ENG,1,1695.93395996,2021-10-01,2021-10-02
57,Zenit,RUS,1,1693.35021973,2021-10-01,2021-10-02
58,Union Berlin,GER,1,1690.84533691,2021-10-01,2021-10-02
59,Slavia Praha,CZE,1,1689.17736816,2021-10-01,2021-10-02
60,Burnley,ENG,1,1684.46704102,2021-10-01,2021-10-02
61,Sassuolo,ITA,1,1679.73339844,2021-10-01,2021-10-02
62,Mainz,GER,1,1677.63244629,2021-10-01,2021-10-02
63,Shakhtar,UKR,1,1672.47351074,2021-10-01,2021-10-02
